nbNeurones  : 100
Donnees validation : 0 : tensor([0.9275], device='cuda:0')
Donnees validation : 5 : tensor([0.9676], device='cuda:0')
Donnees validation : 6 : tensor([0.9692], device='cuda:0')
Donnees validation : 7 : tensor([0.9710], device='cuda:0')
Donnees validation : 8 : tensor([0.9719], device='cuda:0')
Donnees validation : 9 : tensor([0.9727], device='cuda:0')
Donnees test : tensor([0.9767], device='cuda:0')

nbNeurones  : 380
Donnees validation : 0 : tensor([0.9413], device='cuda:0')
Donnees validation : 1 : tensor([0.9511], device='cuda:0')
Donnees validation : 2 : tensor([0.9592], device='cuda:0')
Donnees validation : 3 : tensor([0.9607], device='cuda:0')
Donnees validation : 4 : tensor([0.9670], device='cuda:0')
Donnees validation : 5 : tensor([0.9675], device='cuda:0')
Donnees validation : 6 : tensor([0.9694], device='cuda:0')
Donnees validation : 7 : tensor([0.9715], device='cuda:0')
Donnees validation : 8 : tensor([0.9717], device='cuda:0')
Donnees validation : 9 : tensor([0.9736], device='cuda:0')
Donnees test : tensor([0.9774], device='cuda:0')

nbNeurones  : 390
Donnees validation : 0 : tensor([0.9389], device='cuda:0')
Donnees validation : 1 : tensor([0.9514], device='cuda:0')
Donnees validation : 2 : tensor([0.9590], device='cuda:0')
Donnees validation : 3 : tensor([0.9634], device='cuda:0')
Donnees validation : 4 : tensor([0.9662], device='cuda:0')
Donnees validation : 5 : tensor([0.9647], device='cuda:0')
Donnees validation : 6 : tensor([0.9694], device='cuda:0')
Donnees validation : 7 : tensor([0.9700], device='cuda:0')
Donnees validation : 8 : tensor([0.9718], device='cuda:0')
Donnees validation : 9 : tensor([0.9724], device='cuda:0')
Donnees test : tensor([0.9769], device='cuda:0')

nbNeurones  : 400
Donnees validation : 0 : tensor([0.9358], device='cuda:0')
Donnees validation : 1 : tensor([0.9544], device='cuda:0')
Donnees validation : 2 : tensor([0.9589], device='cuda:0')
Donnees validation : 3 : tensor([0.9644], device='cuda:0')
Donnees validation : 4 : tensor([0.9667], device='cuda:0')
Donnees validation : 5 : tensor([0.9667], device='cuda:0')
Donnees validation : 6 : tensor([0.9700], device='cuda:0')
Donnees validation : 7 : tensor([0.9701], device='cuda:0')
Donnees validation : 8 : tensor([0.9720], device='cuda:0')
Donnees validation : 9 : tensor([0.9732], device='cuda:0')
Donnees test : tensor([0.9769], device='cuda:0')

nbNeurones  : 410
Donnees validation : 0 : tensor([0.9362], device='cuda:0')
Donnees validation : 1 : tensor([0.9536], device='cuda:0')
Donnees validation : 2 : tensor([0.9580], device='cuda:0')
Donnees validation : 3 : tensor([0.9633], device='cuda:0')
Donnees validation : 4 : tensor([0.9648], device='cuda:0')
Donnees validation : 5 : tensor([0.9672], device='cuda:0')
Donnees validation : 6 : tensor([0.9693], device='cuda:0')
Donnees validation : 7 : tensor([0.9696], device='cuda:0')
Donnees validation : 8 : tensor([0.9699], device='cuda:0')
Donnees validation : 9 : tensor([0.9729], device='cuda:0')
Donnees test : tensor([0.9780], device='cuda:0')

nbNeurones  : 420
Donnees validation : 0 : tensor([0.9371], device='cuda:0')
Donnees validation : 1 : tensor([0.9508], device='cuda:0')
Donnees validation : 2 : tensor([0.9584], device='cuda:0')
Donnees validation : 3 : tensor([0.9637], device='cuda:0')
Donnees validation : 4 : tensor([0.9657], device='cuda:0')
Donnees validation : 5 : tensor([0.9683], device='cuda:0')
Donnees validation : 6 : tensor([0.9698], device='cuda:0')
Donnees validation : 7 : tensor([0.9713], device='cuda:0')
Donnees validation : 8 : tensor([0.9736], device='cuda:0')
Donnees validation : 9 : tensor([0.9733], device='cuda:0')
Donnees test : tensor([0.9760], device='cuda:0')

nbNeurones  : 430
Donnees validation : 0 : tensor([0.9380], device='cuda:0')
Donnees validation : 1 : tensor([0.9539], device='cuda:0')
Donnees validation : 2 : tensor([0.9602], device='cuda:0')
Donnees validation : 3 : tensor([0.9645], device='cuda:0')
Donnees validation : 4 : tensor([0.9661], device='cuda:0')
Donnees validation : 5 : tensor([0.9692], device='cuda:0')
Donnees validation : 6 : tensor([0.9698], device='cuda:0')
Donnees validation : 7 : tensor([0.9712], device='cuda:0')
Donnees validation : 8 : tensor([0.9735], device='cuda:0')
Donnees validation : 9 : tensor([0.9729], device='cuda:0')
Donnees test : tensor([0.9776], device='cuda:0')

nbNeurones  : 440
Donnees validation : 0 : tensor([0.9394], device='cuda:0')
Donnees validation : 1 : tensor([0.9530], device='cuda:0')
Donnees validation : 2 : tensor([0.9606], device='cuda:0')
Donnees validation : 3 : tensor([0.9634], device='cuda:0')
Donnees validation : 4 : tensor([0.9682], device='cuda:0')
Donnees validation : 5 : tensor([0.9690], device='cuda:0')
Donnees validation : 6 : tensor([0.9700], device='cuda:0')
Donnees validation : 7 : tensor([0.9702], device='cuda:0')
Donnees validation : 8 : tensor([0.9726], device='cuda:0')
Donnees validation : 9 : tensor([0.9732], device='cuda:0')
Donnees test : tensor([0.9774], device='cuda:0')

Meilleur resultat :tensor([0.9780], device='cuda:0') avec 410
